name,description,address
Wharfside Eatery & Decks,Perfect location for tourists and locals to dine.,1208 Wharf St. Victoria BC
Sen Zushi,Victoria's first Japanease restaurant serving traditional and modern Japanease dishes for more than 20 years.,940 Fort Street Victoria BC
Sam's Deli,Sam's Deli has serves their famous made-to-order sandwiches fresh soups and salads.,805 Government Street Victoria BC
Koto Japanese,Authentic Japanese dishes served with grace and exquisite presentation.,510 Fort Street Victoria BC
Futaba Japanese Restaurant,Futaba Japanese Restaurant has been serving Victoria since 1981. We offer an extensive healthy Japanese menu. We are proud to offer the option of brown rice with all the main courses and sushi.,1420 Quadra St. Victoria BC
Cafe Brio,Continental cuisine in the heart of Victoria.,944 Fort Street Victoria BC
Matisee,French cuisine at it's best.,512 Yates Street Victoria BC
Rosemeade Dining Room - English Inn & Resort,Beautiful setting for a memorable dining experience.,429 Lampson St. Victoria BC
Posh Restaurant (Victoria) (CLOSED),Located in Victoria this Posh is the fourth location in this Sukiyaki chain.,102-1063 Fort Street Victoria BC
Bartholomew's,Warm pub style atmosphere and great food is what Batholomew's is known for.,777 Douglas Street Victoria BC
Wild Rice (New Westminster),A contemporary restaurant serving modern chinese cuisine in New Westminster's newly renovated River Market.,Suite 122-810 Quayside Dr New Westminster BC
Wing Nuts (CLOSED),You just have to try these amazing wings!,4444 Main St. Vancouver BC
Steamrollers,A healthy fast food option.,1195 Robson St. Vancouver BC
Subway Sandwiches and Salads (Hastings Burnaby),Popular fast food sandwich chain offers healthy food fast!.,5961 Hastings Street Burnaby BC
KFC (West Broadway) (CLOSED),When you have that KFC craving drop in for a bucket.,2560 West Broadway Vancouver BC
Curry Express (Oakridge),Drop by for Indian cuisine located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Mmmuffins (Oakridge),Drop by for a tasty muffin. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Quizno's Subs (Brentwood),Drop by for a sub sandwich in the food court at the Brentwood Mall.,4567 Lougheed Hwy Burnaby BC
Tiki Ming (Oakridge),Drop by for Asian cuisine located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
KFC (Richmond Centre),Drop by the food court for our chicken specialties.,6551 No 3 Road Richmond BC
McDonald's (Richmond Centre),Drop by your favourite burger or meal.,6551 No 3 Road Richmond BC
The Port Seafood,Drop by the food court for a seafood experience.,5300 No 3 Road Richmond BC
Burger King (Metrotown),Drop by for a Whopper. Located in Metrotown Centre.,4700 Kingsway Burnaby BC
Orange Julius & DQ,Drop by for a hotdog and a cone. Located in Metrotown Centre.,4700 Kingsway Burnaby BC
Naida's Italian Gourmet Pizza and Ice Cream,Fresh Healthy and Authentic Italian Pizza and Ice Cream,410-7380 King George Hwy Surrey BC
Kernels (Oakridge),Drop by for various types of popcorn. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Mrs. Vannelli's (Brentwood),Drop by for Italian cuisine in the food court at the Brentwood Mall.,4567 Lougheed Hwy Burnaby BC
Yogen Fruz (Oakridge),Drop by for a frozen yogurt treat. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Jugo Juice (Richmond Centre),Drop by a for a juice you won't be disappointed.,6551 No 3 Road Richmond BC
Mediterranean Maza Bar,Drop by for a taste of our mediterranean cuisine.,5300 No 3 Road Richmond BC
Mega Noodle Express,Drop by the food court for a noodle experience.,5300 No 3 Road Richmond BC
Vera's Burger Shack (Richmond Express),The newest Vera's in the chain. The Richmond Express does not have a full menu so do not expect to see any specialty burgers but all the original favourites will be there.,4151 Hazelbridge Way Richmond BC
Curry Express (Lansdowne),Drop by the food court for one of our Indian creations.,5300 No 3 Road Richmond BC
My Slice Pizza,Are you tired of the same old pizza places and looking for some where new to try?,1630 West Broadway Vancouver BC
Sarpino's Pizzeria,Are you tired of the same old pizza places and looking for some where new to try?,1630 West Broadway Vancouver BC
Belgian Fries,Famous for its poutine Belgian Fries serves up fries any way imaginable.,1885 Commercial Dr. Vancouver British Columbia
KFC (Lansdowne),Drop by the food court for our tasty chicken creations.,5300 No 3 Road Richmond BC
New York Fries (Brentwood),Drop by for Fries in the food court at the Brentwood Mall.,4567 Lougheed Hwy Burnaby BC
New York Fries (Metrotown),Drop by for some of our tasty fries.,4700 Kingsway Burnaby BC
Roasty Jack (Metrotown) (CLOSED),Drop by for a tasty roast turkey or beef creation.,4700 Kingsway Burnaby BC
Vina Gourmet,Drop by for a taste of Vietnamese cuisine. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Gassy Jack,When you are in a rush drop by Gassy Jack for a quick snack.,26 Powell Street Vancouver BC
New York Fries (Lansdowne),Drop by for a taste of our fries. Located in the food court.,5300 No 3 Road Richmond BC
Orange Julius (Lansdowne),Drop by the food court for a hot dog and a drink.,5300 No 3 Road Richmond BC
Orange Julius (Richmond Centre),Drop by for your favourite smoothy.,6551 No 3 Road Richmond BC
Mrs Vanelli's (Richmond Centre),Drop by for one of our pasta creations.,6551 No 3 Road Richmond BC
A&W Restaurant (Arbutus Shopping Mall),Can't beat the root beer!,109-4255 Arbutus Street (Arbutus Village) Vancouver BC
Licious Living Cafe @ the YMCA,Delicious & energizing healthy fast food.,955 Burrard St Vancouver BC
Garden Fresh Express,Droby by for a tasty salad.,4700 Kingsway Burnaby BC
McDonalds (Robson),Always good service chain wide.,1701 Robson St Vancouver BC
Boneta,Modern bistro devoted to the love of food and the pursuit of a great meal.,12 Water Street Vancouver BC
Cookies Of Course,Stop by to try one of your favourite cookies.,555 West Hastings - Harbour Centre Vancouver BC
Trees Organic Coffee,European style Cafe a landmark on historic Granville St. has the Best Cheesecake in Town.,450 Granville St. Vancouver BC
Chez Faye Cafe,Yaletown fusion cafe serving breakfast sandwiches soups and more!,1186 Hamilton St Vancouver BC
Beaver Tails,Beaver Tails is a great addition to the Quay food court.,123 Carrie Cates Crt Vancouver BC
Golston Bakery,Nice bakery in a popular area of North Vancouver.,1554 Lonsdale North Vancouver BC
Moustache Cafe,Modern and chic restaurant with a relaxed and ambient atmosphere in booming lower lonsdale area.,129 West 2nd St North Vancouver BC
Bubble Tea House,Best Bubble Tea in North Vancouver.,2035 Lonsdale Ave North Vancouver BC
Caffe Artigiano,A cozy coffeehouse/bistro just off Robson.,763 Hornby St. Vancouver British Columbia
Forage,Opening November 21st 2012 Chris Whittaker's new Forage restaurant is located in The Listel Hotel.,1300 Robson St. Vancouver BC
Starbucks (Robson Downtown),Everyone's favourite coffee.,1099 Robson St. Vancouver BC
Canadian Maple Delights,A Canadian twist on Italian gelato & sorbets offering them with maple syrup.,769 Hornby St. Vancouver British Columbia
Starbucks on Robson (CLOSED),Everyone's favourite coffee place. Great for people watching.,100-1100 Robson St. Vancouver BC
Panne Rizo Bakery,Gluten free bakery: no gluten . no wheat.,1939 Cornwall Avenue Vancouver BC
White Spot (Seymour St) CLOSED),This White Spot restaurant is located on the corner of Seymour and Georgia St.,580 West Georgia Street Vancouver BC
Shakin' not Stirred (CLOSED),New Yaletown restaurant with plenty of big screen TV's and a 007 themed menu.,1144 Homer St. Vancouver BC
Cream Puff Cafe,Friendly neighborhood cafe/bakery has some of the best creampuffs in town.,3416 West Broadway Vancouver BC
Death by Chocolate (Yaletown),If you love desserts then death by chocolate is for you,1145 Mainland Street Vancouver
Steeve Raye Cafe,Steeve Raye Pastry is a new French pastry shop located on 4th avenue. Drop by and tell us what you think.,2836 West 4th Avenue Vancouver BC
Land of Green Ginger (CLOSED),Located in Kitsilano Land of Green Ginger is a nice spot for a sandwich.,2967 West Broadway Vancouver BC
Candy Aisle,When it comes to candy this is the place.,2083 West 4th Ave Vancouver
Jugo Juice (Brentwood),Need a boost? Jugo Juice is the spot for you.,4567 Lougheed Hwy Burnaby BC
After Eight Desert and Coffee House (CLOSED),Great hang out for SFU students.,4532 Hastings Street Burnaby BC
Dolcetto (CLOSED),From the creator of CRU this new coffee place will be sure to be a hit.,2967 West Broadway Vancouver BC
Fusion Frozen Yogurt,Soups wraps and frozen treats.,555 West Hastings Street Vancouver BC
Starbucks (Marpole),Grab a great cup of Joe before heading to the Airport.,8002 Granville Street Vancouver BC
Vivo Gelato (Kerrisdale) (CLOSED),Drop by for an authentic gelato.,5395 West Blvd Vancouver BC
Tim Horton's (Waterfront Center),When you have a craving for a timbit or ten.,200 Burrard St Vancouver BC
Starbucks in Gastown,Great coffee and people watching.,199 Water Street Vancouver BC
Qoola Frozen Yogurt and Fruit,Vancouver's only location for fresh frozen yogurt crepes and waffles topped with a vast array of toppings.,1116 Denman St Vancouver BC
L'arte del Gelato,When your in West Vancouver drop by L'arte for a scoop of gelato.,1441 Marine Drive Vancouver BC
Dairy Queen (West Broadway),When you have that DQ craving drop in for a Blizzard.,2601 West Broadway Vancouver
Dairy Queen (Broadway and Cambie) (CLOSED),Popular ice cream spot that serves a great burger.,104 - 500 West Broadway Vancouver BC
Starbucks (Waterfront Center),When you have that coffee craving Starbucks is always there.,200 Burrard St Vancouver BC
Tim Hortons (West Broadway),Roll up the....donut to eat.,865 West Broadway Vancouver BC
Bonchaz Bakery Cafe,Bonchaz Bakery/Cafe is Home of the World Famous Bonchaz Bun!,425 W Hastings Street Vancouver British Columbia
Indulgence Dessert,Indulegence Desserts specializes in providing individual and full-size cakes tarts petit fours and wedding favours for all special occasions and celebrations.,611 Alexander Street Vancouver BC
Cheesecake 101 Gourmet Outlet (CLOSED),Gourmet cheesecakes with the concept of moderation in this their speciality.,1859 W. 4th Avenue Vancouver BC
Mondo Gelato,Gelato place located in the heart of the West End.,1094 Denman St Vancouver BC
Kams Bakery & Restaurant Ltd.,An extensive selection of Chinese food accompanied by a wonderful bakery.,2419 Main St. Vancouver British Columbia
Tomato Fresh Food Cafe (CLOSED),Fresh Food Cafe located in Kitsilano.,2486 Bayswater Street Vancouver BC
Miriams,Located in Sinclair Center. A nice spot for lunch.,757 West Hastings St Vancouver BC
Bread Garden,Great cafe specializing in breakfast & lunch complete with an outdoor patio.,812 Bute St. Vancouver British Columbia
Starbucks (Beatty St),As usual great coffee. Located close to Yaletown.,858 Beatty Street Vancouver BC
Death by Chocolate (CLOSED),The ultimate dessert destination. If you love chocolate you will love Death by Chocolate.,1598 W. Broadway Vancouver BC
Ebisu on Robson,Hot new stylish Japanese Restaurant Lounge located in the heart of Downtown Vancouver on Robson!,827 Bute Street Vancouver BC
Cupcakes on Broadway,Be prepared for a cupcake experience.,2887 West Broadway Vancouver BC
Dollenkamp Bakery,Drop by for a dessert while waiting for the bus.,2778 West Broadway Vancouver BC
Starbucks (Dunsmuir),Great central location for that coffee fix.,891 Dunsmuir Vancouver
Starbucks Coffee (Station Square Metrotown),Great for people watching.,1111 - 4680 Kingsway Burnaby BC
Delizioso Gelato,Try a gelato while your shopping in Marpole.,8091 Granville Street Vancouver BC
Amadeo,Drop by for one of their bakehouse treats.,1468 Marine Drive Vancouver BC
Savary Island Pie Company,When your in West Vancouver drop by Savory Island for a piece of pie.,1533 Marine Drive West Vancouver BC
My Thai Restaurant,Award winning Thai restaurant.,20542 Fraser Highway Langley BC
Maria's Taverna,Denman street location for your downtown Greek food craving.,1037 Denman St Vancouver
Nu Restaurant (CLOSED),Greek themed Nu Restaurant is located on a waterfront patio overlooking False Creek.,1661 Granville St. Vancouver BC
Dallas Greek Restaurant,Spacious Greek restaurant with very affordable prices big portions fully licensed.,2095 Commercial Drive Vancouver BC
Sfinaki Greek Restaurant,Greek restaurant in North Burnaby offers a romantic dinner close to home.,4061 Hastings St. Burnaby BC
Kalypso Restaurant,Great Greek 'ouzeria' now in a new location.,202-1323 Robson St. Vancouver British Columbia
Athens Pizza & Italian Food,Great pizza Greek & Italian food offering free delivery and weekly specials.,2444 Main St. Vancouver British Columbia
Santorini Restaurant,Based in Coquitlam Santorini's takes pride in providing quality Greek cuisine.,345 North Road Coquitlam BC
George's Souvlaki,When shopping at the Quay drop in for lunch at George's.,123 Carrie Cates Court Vancouver BC
Ouzeri Restaurant (CLOSED),Fine Greek cuisine located on Broadway.,3189 West Broadway Vancouver BC
Mythos Taverna,Authentic Greek Restaurant.,1811 Lonsdale Ave North Vancouver BC
Monterey Greek Taverna,Serving Greek and Mediterranean Cuisine daily with fresh ingredients,#140 - 5960 Minoru Blvd Richmond BC
Candia Taverna,Greco-Roman Cuisine located in Kits.,4510 West 10th ave. Vancouver B.C.
Bawa's Greek Restaurant,Donairs and other specialties on West Broadway.,1453 West Broadway Vancouver BC
Spiros Greek,Try the donair or another one of their Greek dishes.,379 West Broadway Vancouver BC
Acropol Restaurant,Authentic Greek food in the heart of Kitsilano,2942 West Broadway Vancouver BC
Kerkis,Greek Taverna located on popular 4th Ave in Kitsilano..,3605 W.4th ave. Vancouver BC
Simpatico,Traditional Greco-Roman Cuisine located on Fourth Ave.,2222 West 4th ave. Vancouver B.C.
Symposio Taverna,When your in West Vancouver drop by Symposio for Greek cuisine.,1560 Marine Drive West Vancouver BC
Phoenix Fast Food,Fast Greek food when you don't have time to see all of Granville Island.,111 - 1689 Johnston St Vancouver BC
Ariston Greek Taverna,Nice spot for Greek food and people watching.,1425 Marine Drive Vancouver BC
Kefi Greek Kouzina,Kefi serves a new version of classic Greek dishes like the Roast Lamb.,102-100 Schoolhouse Street Coquitlam BC
Opa (Metrotown),Drop by for a taste of our greek cuisine.,4700 Kingsway Burnaby BC
Bouzyos Greek Taverna,,1815 Commercial Dr. Vancouver BC
Moldovanos Greek Restaurant (CLOSED),For over 35 years Moldovanos has been the place to visit for excellent Greek food.,102A - 3701 Hastings St. Burnaby BC
Rodney's Oyster House,Rodney's Oyster House in Yaletown is all about seafood especially oysters..,1228 Hamilton Street Vancouver BC
Bean Brothers Cafe,A fixture in the heart of the shopping district of Kerrisdale in Vancouver for over 15 years.,2179 West 41st Avenue Vancouver BC
Charlie's Fish and Chips,Sinclair Center's favourite spot for seafood.,757 West Hastings St Vancouver BC
Mr. Pickwick's Fish + Chips (Denman) (CLOSED),Voted best fish and chips in Vancouver. 14 different styles of fish and chips from around the world.,1007 Denman St Vancouver BC
Fish Cafe,Great seafood prepared in various ways. Also a new location in Kits.,2053 West 41st Ave Vancouver BC
Cod Father's Fish & Chips,Fish and Chips restaurant serving freshly made quality fish.,554 Clarke Rd (Burquitlam Plaza) Coquitlam BC
Princeton Grill,For great comfort food come and join us.,1901 Powell Street Vancouver bc
Bacchus Bistro,French Bistro Cuisine prepared with local Fraser Valley ingredients.,1064 - 216th Street Langley BC
DB Bistro Moderne (Vancouver) (CLOSED),Daniel Boulud newest creation for the Vancouver dining scene is now open and sure to be a hit.,2551 West Broadway Vancouver BC
Cassis Bistro (CLOSED),French comfort cuisine in a nice setting located in Downtown Vancouver.,420 West Pender St. Vancouver BC
Hermitage Restaurant (CLOSED),Hermitage serves fine French cuisine in an inviting atmosphere..,115-1025 Robson St. Vancouver BC
Ensemble Restaurant and Bar (CLOSED),Chef's Dale Mackay new restaurant is now closed.,850 Thurlow St Vancouver BC
Le Bistro de Paris (Closed),A little touch of Paris located in downtown Vancouver.,751 Denman Street Vancouver BC
The Corner Suite Bistro Deluxe (CLOSED),Jason Liezert's cuisine is the main attraction for this new restaurant that just opened. Owners Andre McGillivray and Steve Da Cruz preside over the dining room.,850 Thurlow Street Vancouver BC
La Cigale French Bistro,La Cigale French Bistro just took over from Bistrot Bistro.,1961 West 4th Ave Vancouver BC
Chef Chop Chop,Private Cooking Classes in Vancouver  BC Canada.,P.O. Box 43608-RPO Alberni Street-Vancouver BC Vancouver british columbia
Le Parisien,Le Parisien is the new French restaurant located in the old Cafe de Paris location. Ran by the same owner of Bistro Pastis.,751 Denman Street Vancouver BC
Pied a Terre,Cambie street diners welcome Pied a Terre from the owners of L'Altro Buca and La Buca. This new French bistro has been receiving rave reviews.,3369 Cambie Street Vancouver BC
Jules Casual French Bistro,New to the Gastown dining scene this french bistro has received good reviews so far.,216 Abbott St Vancouver BC
Oakwood Canadian Bistro,The Oakwood Canadian Bistro's food philosophy is focused on fresh house-made dishes crafted from locally sourced products,2741 West 4th Avenue Vancouver BC
Frenchies,,1018 Commercial Dr. Vancouver British Columbia
CC Violin Patisserie & Cafe,A place to enjoy leisure moments and sweet treats.,1564 Marine Drive West Vancouver BC
The French Table,The French Table serves fine French cuisine in an inviting atmosphere..,3916 Main St. Vancouver BC
Frosting Cupcakery,Lower Mainlands favorite place for Specialty Cupcakes and Cakes.,122 - 20226 Fraser Hwy. Langley BC
Nando's Flame-Grilled Chicken (Langley-Walnut Grove),Located in Langley's Walnut Grove neighbourhood this Nando's will lead your taste buds on a journey from Africa to Portugal.,20159 88th Avenue Langley BC
X-Site Grill and Bistro,A cool SFU student hangout with big portions and low prices.,4625 Hastings St. Burnaby BC
The Well Restaurant,The Well: A home for every appetite.,3048 Main Street Vancouver BC
Adesso Bistro,Authentic Ligurian Italian cuisine using local and sustainable ingredients.,1906 Haro Street Vancouver BC
Coco Rico Cafe,A bistro-style restaurant with a great Pacific Northwestern tapas menu & large outdoor patio.,1290 Robson St. Vancouver British Columbia
Stages Bistro,Located in the Holiday Inn and beside the casino.,711 West Broadway Vancouver
The Butler Did It Catering Co,The Butler Did It Catering - Vancouver BC Canada.,340 West Second Avenue Vancouver BC
Soma Wine Bar (CLOSED),Mount Pleasant's best kept secret extensive approachable wine list crafted cocktails and seasonal small plates,151 East 8th Ave. Vancouver bc
Railspur Cafe & Bistro,Cafe and Bistro with live jazz.,1363 Railspur Alley Vancouver B.C.
Two Chefs and a Table (CLOSED),Drop by to discover inspirational fresh dishes.,305 Alexander Street Vancouver BC
Juno Vancouver Sushi Bistro,A serious Japanese team offers quality fish and meat dishes at a very reasonable price range.,572 Davie Street Vancouver BC
Paradise Vegetarian Noodle House,Healthy vegetarian Vietnamese cuisine restaurant that serves home-cooked style vegetarian dishes.,8681 10th Ave Burnaby BC
Lan's Vietnamese Cuisine,Good Vietnamese cuisine located on Granville Street.,1481 Granville Street Vancouver
Mui Ngo Gai,Come exprience the Taste of Vietnam.,2408 Nanaimo Street Vancouver BC
Saigon Vietnamese Cuisine,Great Vietnamese takeout spot on Robson.,1500 Robson St. Vancouver British Columbia
Vip's Kitchen,Chinese Vietnamese & Asian cuisine all located at Vip's in West Vancouver,1487 Marine Drive Vancouver BC
Vina Vietnamese (West Van),When you are in West Vancouver and have that Vietnamese food craving Vina is the place to go to.,2448 Marine Drive West Vancouver BC
The Best Pho House,The Best Vietnamese Pho and other specialty Vietnamese Cuisine,430 Pender Street Vancouver BC
Vancouver Vietnamese Restaurant,Authentic Vietnamese food with extremely friendly service.,4136 Main St. Vancouver British Columbia
Thirsty Penguin Sports Lounge,After a long skate a perfect place to unwind.,6501 Sprott Street Burnaby BC
Reflect Social Dining + Lounge,Our esteemed chef has combined his great knowledge of fusion cooking expertly and tastefully blending the flavours and spices of the West Coast with those of Europe and Asia.,6083 McKay Avenue Burnaby British Columbia
Lougheed Wonton House,Try Seafood Chinese Style!.,3495 North Rd # 110 Burnaby BC
The Charles Bar,The Charles Bar is located in Gastown in the new Woodwards building.,136 West Cordova Street Vancouver BC
The Pint Public House,Newest pub in the Crosstown/Gastown area.,455 Abbott St Vancouver BC
The Raven Pub,Nominated best pub in North Vancouver 8 years in a row.,1052 Deep Cove Road North Vancouver BC
Subeez Cafe Restaurant Bar,Subeez - your cafe/restaurant/bar. At Subeez we make room for everyone. There is a beauty here.,891 Homer Street Vancouver BC
Plan B Lounge & Eatery (CLOSED),Exciting new wine bar/tapas lounge now open in Yaletown.,1144 Homer Street Vancouver BC
Show Case Restaurant and Bar,Located in the Marriot Pinnacle Hotel this restaurant offers exquisite cuisine for the business or leisure traveler.,Located at the Vancouver Marriott Pinnacle Downtown Hotel. 1128 West Hastings Street Vancouver BC
Tequila Kitchen (CLOSED),One of the newest restaurants to join the Yaletown dining scene. Tequila Kitachen has been receiving good reviews.,1043 Mainland St Vancouver BC
Yaletown Brewing Company,Great place for large groups to have fun.,1111 Mainland Street Vancouver BC
Pinkys Steakhouse (CLOSED),New steakhouse in Yaletown. Promoting high quality cuisine and a sexy theme.,1265 Hamilton Street Vancouver BC
Regional Tasting Lounge (r.tl),Yaletown restaurant featuring cuisines of the world in a modern yet intimate atmosphere.,1130 Mainland St Vancouver BC
Britannia Sushi,,1016 Commercial Dr. Vancouver British Columbia
Elwoods,Funky place to hang out and have a drink.,3141 West Broadway Vancouver BC
Shota Lounge,A reinvented tapas and drinks concept with their famous $5.00 menu.,217-755 Burrard Street Vancouver British Columbia
The Atlantic Trap and Grill,Great place for after the Lion's or Canuck games.,118 Robson Street Vancouver BC
Judge's Indian Cuisine,Was All India on Davie now Judge's,1188 Davie Street Vancouver BC
Relish Gastropub and Bar,New pub new menu in this Relish rebrand.,888 Nelson Street Vancouver
The Ivory Tavern,The Helm is closed and The Ivory Tavern opens.,1180 Howe Street Vancouver BC
Fogg N' Suds,A great lounge-style restaurant with an award-winning beer selection.,202-1323 Robson St. Vancouver British Columbia
Copper Tank Grill,Another great place to have a drink on Broadway.,3135 West Broadway Vancouver BC
Cat's Meow,Lounge & eatery located on Granville Island.,1540 Old Bridge Street. Vancouver B.C.
Kelsey's (CLOSED),Your Tables Ready..,1378 Main Street. North Vancouver BC
U Sushi Restaurant,Perfect place for romatic dinner with English Bay view,202-1184 Denman Street Vancouver BC
John B Pub,Long time Coquitlam pub.,1000 Austin Avenue (near Austin and Blue Mountain) Coquitlam BC
Keg Caesars (CLOSED),Great location and great steaks.,595 Hornby Street Vancouver
Annapurna,Vegetarian cuisine on Burrard,1812 West 4th Ave Vancouver
Uva Wine Bar,Located in the Moda Hotel the Uva Wine Bar will dazzle your taste buds with fine wine and top notch cuisine.,900 Seymour Street Vancouver BC
Red Fort Authentic Indian Cuisine,We offers popular tandoori dishes with fresh breads from the tandoor.,1962 Kingsway Vancouver BC
Persepolis Restaurant and Lounge,Fine Mediterranean Cuisine.,112 West 13th Street North Vancouver BC
Jack Lonsdale's Pub,Great pub in a great location.,1433 Lonsdale Ave North Vancouver BC
Desi Restaurant and Lounge,Fresh homemade and authentic Indian cuisine located in the eclectic Denman neighbourhood.,Suite 200 911 Denman Street Vancouver BC
Shanghai 1949 Chinese Bistro,Shanghai 1949 Bistro is a Chinese restaurant in dowtown Vancouver.,1215 Davie St Vancouver BC
Palki Restaurant,Authentic Indian Food,1130 Commercial Drive Vancouver B.C
The Lennox Pub,Good pub in downtown Vancouver.,800 Granville St Vancouver BC
Rex Rotisserie and Grill,Nice spot for business meetings or for a group of friends after work. Steaks are their specialty.,1055 Dunsmuir Street Vancouver BC
Milestones Crossroads Grill + Bar,New Milestones Restaurant with breath taking views of Downtown & the North Shore Mountains.,2425 Cambie Street Vancouver BC
The Cascade Room,The Main and Broadway area has just become that much better with this new cocktail and culinary creation. Stop in and then leave us a comment using the feedback system.,2616 Main St Vancouver BC
CHOW (CLOSED),Newest edition to the South Granville area dining scene.,3121 Granville Street Vancouver BC
Thai Pearl (Brentwood),Drop by for Thai in the food court at the Brentwood Mall.,4567 Lougheed Hwy Burnaby BC
Thai Food (Metrotown),Drop by for Thai cuisine. Located in Metrotown Centre.,4700 Kingsway Burnaby BC
Thai House Royale Restaurant,Great Thai food near Metrotown Mall.,115 - 4600 Kingsway Burnaby BC
Nakorn Thai Restaurant,Thai restaurant located on West Broadway.,401 West Broadway Vancouver BC
Thai House Restaurant,Great authentic Thai food located on Robson.,1116 Robson St. Vancouver BC
Star Restaurant,Express lunch with a variety of choices.,861 Hornby Street Vancouver
Thai Way (Lansdowne),Drop by for a Thai creation. Located in the food court.,5300 No 3 Road Richmond BC
Thai Yummy (CLOSED),Yummy Thai located in Kits.,1873 West 4th Ave Vancouver BC
Maenam Restaurant,New Thai place on 4th by Chef Angus An. I am sure it will be a big hit in the Kits neighbourhood.,1938 West 4th Ave Vancouver BC
Thai Terrace,Good Thai food located on West Broadway.,2872 West Broadway Vancouver BC
Thailicious Cuisine@Door,Experience real THAI experience THAILICIOUS,1428 Vernon Drive Vancouver BC
Thai Away Home (Davie St),Authentic Thai cuisine to eat-in take-out or make at home.,1206 Davie Street (at Bute) Vancouver BC
Ya yah Thai Cuisine,Affordable authentic Thai cuisine with friendly service.,1859 Commercial Dr. Vancouver British Columbia
Pho Hoa Noodle House,Popular chain of Pho restaurants now on West Broadway.,382 West Broadway Vancouver BC
Kim Penh Xe Lua,Open 24 hours for your Pho craving.,500 West Broadway Vancouver
Thai Pudpong,When your in West Vancouver drop by the Pudpong for Thai cuisine.,1474 Marine Drive West Vancouver BC
Charm Modern Thai (CLOSED),New addition to the Yaletown dining scene that focuses on Thai Cuisine.,1269 Hamilton Street Vancouver BC
Baan Wasana,Newer Thai restaurant located in Kerrisdale.,2143 West 41st Ave Vancouver BC
O Thai Cuisine,West Broadway has just become a better place to dine due the newly renovated O Thai.,1626 West Broadway Vancouver BC
O-Cha Tea Bar,Numerous kinds of tea to taste.,1116 Homer Street Vancouver
SFU's Vegetarian Lunch,Healthy home-cooked vegetarian meals for SFU students and professors alike.,Maggie Benson Centre Forum Chambers SFU Burnaby BC
Yogi's Vegetarian Indian Cuisine (CLOSED),,1408 Commercial Dr. Vancouver British Columbia
The Naam,Full service vegetarian and vegan restaurant offers creative and healthy dishes. Open 24 hours.,2724 West Fourth Avenue Vancouver BC
Cafe Presto Panini,Try Presto's wide selection of sandwiches and complete meals.,859 Hornby Street Vancouver BC
Rasoee indian kitchen,Rasoee - MODERN. INDIAN. DELIVERED.,320 Robson Street Vancouver BC
Curry Express,Good Indian food at the Harbour Centre Food Court.,555 West Hastings Street Vancouver BC
Bo Kong Vegetarian Restaurant (CLOSED),An elegant friendly atmosphere with a 100% vegetarian menu of tasty dishes.,3068 Main St. Vancouver British Columbia
Cafe Du Soleil,,1393 Commercial Dr. Vancouver British Columbia
Adeline's,Baked goods breakfast brunch and lunch done fresh.,952 Commercial Dr. Vancouver BC
Deserts,Stop by for a desert.,905 Commercial Dr. Vancouver British Columbia
Capers,Community Cafe known for its fine slection of foods.,2285 West 4th ave. Vancouver BC
Drew Cooks! Personal Chef and Catering,Your very own Personal Chef in and around beautiful Vancouver! Save time and eat healthier!,Vancouver BC Vancouver BC
Deuce Restaurant (CLOSED),From the owners of Capones Deuce restaurant is sure to be a success in North Vancouver.,1617 Lonsdale Avenue North Vancouver BC
Salad Garden (Oakridge),Drop by for a salad creation. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Sutra,Tripadvisors no. 1 restaurant in bouldercolorado...now open in vancouver.,862 Richards street Vancouver b.c.
Rasoee (UBC),Rasoee is modern Indian Delivered.,2138 Western Parkway Vancouver BC
Maurya Indian Cuisine,Award winning Indian cuisine.,1643 West Broadway Vancouver BC
The Keg Steakhouse and Bar(Granville Island),Great place for a steak and to see the Market.,1499 Anderson St Vancouver BC
Meals for Mums Delivery (CLOSED),Healthy meal delivery service especially for too-busy families.,1428 Vernon Drive Vancouver BC
Rare Restaurant (CLOSED),Rare restaurant in Downtown Vancouver is known for its fine wines steaks fish and oysters.,1355 Hornby Street Vancouver BC
Morton's Steakhouse (CLOSED),Elegant steakhouse with appetizing fare.,750 West Cordova Street Vancouver BC
Monk's Grill,One of Whistler's favourite dining spots.,4555 Blackcomb Way Whistler BC
Wilson's Steak House (CLOSED),Perfect place for a steak before or after a game.,808 Beatty Street (CLOSED) Vancouver BC
Gotham Steakhouse,An elegant and chic steakhouse with all the trimmings.,615 Seymour St. Vancouver BC
Hy's Steakhouse Encore,Grade-A steaks in an elegant restaurant with great history.,637 Hornby Vancouver BC
The Keg Steakhouse and Bar (Yaletown),Located in trendy Yaletown this new impressive Keg Steakhouse will be sure to satisfy your steak craving.,1011 Mainland St. Vancouver BC
Infuze Tea House (CLOSED),Ancient matcha tea infused at Infuze Tea House.,1114 Denman Street Vancouver BC
